EquipID,System,EquipType,Point Name,Descriptor,Function,Point Type,Engineering Units,Slope,Intercept,Sensor Type,COV Trend,Collection,Panel Samples,PC Samples,COV Limit,Trend Interval 1,Collection 1,Panel Samples 1,PC Days 1,Trend Interval 2,Collection 2,Panel Samples 2,PC Days 2,Trend Interval 3,Collection 3,Panel Samples 3,PC Days 3,Trend Interval 4,Collection 4,Panel Samples 4,PC Days 4,EquipRef,Display Mode,BLN Type,BLN Sys Name,Node Identifer,Device Sys Name,BACnet Object type,BACnet Object Instance,BACnet Object Name,BACnet Device Instance,Address Type DHCP?,IP address,UDP port,BACnet network,MSTP Address,MSTP network,Apogee Pt type,Virtual,IP Port,Insight Node Number,FLN Device Sys Name,LocalRef,AppInstanceID,Medium,Memo
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.192:MTR SETUP,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.192:NGT OVRD,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LDO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.192:RM STPT DIAL,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAI,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.192:RM STPT MAX,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.192:RM STPT MIN,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:ROOM TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.192:ROOM TEMP,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAI,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:STPT DIAL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.192:STPT DIAL,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LDO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:VLV1 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.192:VLV1 COMD,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAO,NO,5033,100000,BSHC.VAV.192,,,,
vav.192,Air Distribution,VAV Box,BSHC.VAV.192:VLV1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.192:VLV1 POS,1770122,Static,10.27.72.11,47808,1,BACD:22,17701,LAO,NO,5033,100000,BSHC.VAV.192,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.194:AIR VOLUME,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAI,NO,5033,100000,BSHC.VAV.194,,,VAV Box Air Volume,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.194:AUX TEMP AI3,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAI,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:CAL AIR,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CHK OUT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:CHK OUT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CHK STATUS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CHK STATUS,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CLG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CLG MAX,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CLG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CLG MIN,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CLG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CLG LOOPOUT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CTL MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CTL MAX,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CTL STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CTL STPT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CTL TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CTL TEMP,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:CTLR ADDRESS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:CTLR ADDRESS,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DAY.NGT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:DAY.NGT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DI 2,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.194:DI 2,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDI,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DI 3,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.194:DI 3,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDI,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DMPR COMD,,Terminal Unit Damper Command,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:DMPR COMD,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,VAV Box Damper Command,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DMPR POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:DMPR POS,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DO 5,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:DO 5,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:DUCT AREA,,,LAO,ft2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:DUCT AREA,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:FLOW COEFF,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:FLOW COEFF,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:FLOW STPT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:FLOW STPT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:HEAT.COOL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:HEAT.COOL,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:HTG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:HTG MAX,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:HTG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:HTG MIN,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:HTG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:HTG LOOPOUT,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:MTR SETUP,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:NGT OVRD,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.194:RM STPT DIAL,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAI,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:RM STPT MAX,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:RM STPT MIN,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:ROOM TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.194:ROOM TEMP,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAI,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:STPT DIAL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.194:STPT DIAL,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LDO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:VLV1 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:VLV1 COMD,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.194,Air Distribution,VAV Box,BSHC.VAV.194:VLV1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.194:VLV1 POS,1770123,Static,10.27.72.11,47808,1,BACD:23,17701,LAO,NO,5033,100000,BSHC.VAV.194,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.195:AIR VOLUME,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAI,NO,5033,100000,BSHC.VAV.195,,,VAV Box Air Volume,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.195:AUX TEMP AI3,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAI,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.195:CAL AIR,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CHK OUT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.195:CHK OUT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CHK STATUS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CHK STATUS,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CLG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CLG MAX,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CLG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CLG MIN,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CLG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CLG LOOPOUT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CTL MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CTL MAX,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CTL MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CTL MIN,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CTL STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CTL STPT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:CTL TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:CTL TEMP,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DAY CLG STPT,,Terminal Unit Occ Cooling Setpoint,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:DAY CLG STPT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,VAV Box Day Cooling Setpoint,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DAY.NGT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.195:DAY.NGT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DI 2,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.195:DI 2,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDI,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DI 3,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.195:DI 3,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDI,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DI OVRD SW,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.195:DI OVRD SW,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDI,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DMPR COMD,,Terminal Unit Damper Command,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:DMPR COMD,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,VAV Box Damper Command,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DMPR POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:DMPR POS,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DO 3,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.195:DO 3,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:DUCT AREA,,,LAO,ft2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:DUCT AREA,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:FLOW COEFF,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:FLOW COEFF,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:FLOW STPT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:FLOW STPT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:MTR SETUP,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:NGT CLG STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:NGT CLG STPT,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.195:NGT OVRD,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LDO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.195:RM STPT DIAL,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAI,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:RM STPT MAX,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
vav.195,Air Distribution,VAV Box,BSHC.VAV.195:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.195:RM STPT MIN,1770162,Static,10.27.72.11,47808,1,BACD:62,17701,LAO,NO,5033,100000,BSHC.VAV.195,,,,
